,News Media,Date,Tweets Ago,Compound,Positive,Neutral,Negative,Tweet
13,BBCBreaking,Fri Sep 07 07:00:15 +0000 2018,14,-0.7871,0.14,0.433,0.427,"BA boss ""extremely sorry"" after some customers' data stolen in ""very sophisticated criminal attack"" on website https://t.co/PGrIfzJlnG"
14,BBCBreaking,Thu Sep 06 20:55:50 +0000 2018,15,-0.8225,0.0,0.612,0.388,Twitter permanently bans US conspiracy theorist Alex Jones and Infowars for abusive behaviour https://t.co/6hp5VIIf7F
15,BBCBreaking,Thu Sep 06 19:28:33 +0000 2018,16,0.4019,0.153,0.847,0.0,"Obituary: Burt Reynolds - full of charm &amp; swagger, he became one of Hollywood's best-known stars… https://t.co/FNVMKFPafC"
16,BBCBreaking,Thu Sep 06 19:06:08 +0000 2018,17,0.0,0.0,1.0,0.0,"Burt Reynolds dies, aged 82 - he starred in a string of hits in the 1970s, including Smokey and the Bandit &amp; Delive… https://t.co/eeqUAl3qVP"
17,BBCBreaking,Thu Sep 06 17:00:22 +0000 2018,18,-0.2732,0.0,0.87,0.13,A planned tax cut for 2.7m self-employed workers has been scrapped by the UK government https://t.co/v9Mbp69qsd
18,BBCBreaking,Thu Sep 06 15:10:53 +0000 2018,19,0.3245,0.298,0.543,0.159,"US, France, Germany and Canada agree with UK that Russian government ""almost certainly"" approved Salisbury poisoning https://t.co/zEJwB5R0mT"
19,BBCBreaking,Thu Sep 06 10:35:28 +0000 2018,20,-0.5574,0.0,0.783,0.217,"Cranberries singer Dolores O'Riordan died by drowning due to alcohol intoxication, inquest told https://t.co/CdevEV5EYs"
20,BBCBreaking,Tue Sep 11 16:30:50 +0000 2018,21,0.658,0.154,0.846,0.0,"RT @bbctms: WICKET!
There it is! Anderson cleans up Shami, bowled for 0. England win the match and Jimmy Anderson takes his 564th Test wick…"
21,BBCBreaking,Tue Sep 11 09:21:43 +0000 2018,22,0.5267,0.152,0.848,0.0,"RT @BBCSport: Uefa plans to introduce a third European club competition alongside the Champions League and Europa League from 2021.

👉 http…"
22,BBCBreaking,Tue Sep 11 08:35:00 +0000 2018,23,-0.4404,0.0,0.828,0.172,"UK unemployment fell by 55,000 in the three months to July, ONS figures say https://t.co/XYEvJ6AbkM"
23,BBCBreaking,Mon Sep 10 14:09:41 +0000 2018,24,0.0,0.0,1.0,0.0,England's leading Test run scorer Alastair Cook dismissed for 147 in his last ever innings for his country… https://t.co/XCWX52LxXE
24,BBCBreaking,Mon Sep 10 11:45:36 +0000 2018,25,0.4374,0.107,0.893,0.0,"RT @bbctms: THERE IT IS!
What a moment for Alastair Cook on his last-ever Test innings he brings up his hundred! Not sure he'd have expecte…"
25,BBCBreaking,Sun Sep 09 18:09:57 +0000 2018,26,0.6249,0.282,0.718,0.0,"Sweden's far right makes gains in election as establishment parties deadlocked, exit polls predict https://t.co/GXIMNX2uTb"
26,BBCBreaking,Sun Sep 09 17:03:42 +0000 2018,27,-0.8555,0.0,0.58,0.42,"28-year-old woman charged with attempted murder after man stabbed on Saturday in Barnsley, South Yorkshire https://t.co/IQTo0Ap8cW"
27,BBCBreaking,Sat Sep 08 21:47:17 +0000 2018,28,0.8402,0.34,0.577,0.083,Naomi Osaka beats Serena Williams 6-2 6-4 to win US Open - the first Japanese player to win Grand Slam singles title https://t.co/y9hsSHkKZy
28,BBCBreaking,Sat Sep 08 17:02:27 +0000 2018,29,-0.9231,0.0,0.53,0.47,"Woman, 28, arrested after man stabbed in Barnsley, South Yorkshire is being held on suspicion of attempted murder https://t.co/iWCXSe2gLM"
29,BBCBreaking,Sat Sep 08 09:38:43 +0000 2018,30,-0.7184,0.0,0.76,0.24,"One person arrested after reports man had been stabbed in Barnsley town centre, as police investigate if it was an… https://t.co/oyYQpXLyph"
30,BBCBreaking,Sat Sep 08 09:10:30 +0000 2018,31,-0.0772,0.0,0.902,0.098,"Police responding to ""serious incident"" in Barnsley, South Yorkshire, the force says https://t.co/hIXI30hWJ9"
31,BBCBreaking,Fri Sep 07 21:28:58 +0000 2018,32,-0.6486,0.0,0.815,0.185,"US rapper Mac Miller found dead at his Los Angeles home aged 26 after apparent overdose, US media report https://t.co/ytKhUKCXkC"
32,BBCBreaking,Fri Sep 07 20:45:14 +0000 2018,33,-0.765,0.0,0.72,0.28,Former Donald Trump aide George Papadopoulos jailed for 14 days for lying to the FBI in Russia investigation https://t.co/SIBVvJz398
33,BBCBreaking,Fri Sep 07 07:00:15 +0000 2018,34,-0.7871,0.14,0.433,0.427,"BA boss ""extremely sorry"" after some customers' data stolen in ""very sophisticated criminal attack"" on website https://t.co/PGrIfzJlnG"
34,BBCBreaking,Thu Sep 06 20:55:50 +0000 2018,35,-0.8225,0.0,0.612,0.388,Twitter permanently bans US conspiracy theorist Alex Jones and Infowars for abusive behaviour https://t.co/6hp5VIIf7F
35,BBCBreaking,Thu Sep 06 19:28:33 +0000 2018,36,0.4019,0.153,0.847,0.0,"Obituary: Burt Reynolds - full of charm &amp; swagger, he became one of Hollywood's best-known stars… https://t.co/FNVMKFPafC"
36,BBCBreaking,Thu Sep 06 19:06:08 +0000 2018,37,0.0,0.0,1.0,0.0,"Burt Reynolds dies, aged 82 - he starred in a string of hits in the 1970s, including Smokey and the Bandit &amp; Delive… https://t.co/eeqUAl3qVP"
37,BBCBreaking,Thu Sep 06 17:00:22 +0000 2018,38,-0.2732,0.0,0.87,0.13,A planned tax cut for 2.7m self-employed workers has been scrapped by the UK government https://t.co/v9Mbp69qsd
38,BBCBreaking,Thu Sep 06 15:10:53 +0000 2018,39,0.3245,0.298,0.543,0.159,"US, France, Germany and Canada agree with UK that Russian government ""almost certainly"" approved Salisbury poisoning https://t.co/zEJwB5R0mT"
39,BBCBreaking,Thu Sep 06 10:35:28 +0000 2018,40,-0.5574,0.0,0.783,0.217,"Cranberries singer Dolores O'Riordan died by drowning due to alcohol intoxication, inquest told https://t.co/CdevEV5EYs"
40,BBCBreaking,Thu Sep 06 06:28:06 +0000 2018,41,-0.128,0.227,0.524,0.249,Gay sex is no longer a crime in India after a historic verdict by the Supreme Court https://t.co/GnrdzPPSuF
41,BBCBreaking,Wed Sep 05 12:11:06 +0000 2018,42,-0.7351,0.0,0.721,0.279,"""This was not a rogue operation""

UK PM Theresa May says suspects in Salisbury poisoning investigation were Russian… https://t.co/MbTg37F5H6"
42,BBCBreaking,Wed Sep 05 12:05:07 +0000 2018,43,-0.34,0.131,0.636,0.233,"Two Salisbury attack suspects are believed to be Russian military intelligence officers, UK PM Theresa May says https://t.co/cC5Plpg7J4"
43,BBCBreaking,Wed Sep 05 10:09:08 +0000 2018,44,-0.4767,0.0,0.846,0.154,"UK police name two Russian nationals saying there is ""sufficient evidence"" to charge them over Salisbury attack https://t.co/SXGLXtBgPY"
